"Id","DiffId","ProjId","Language","ProjName","CommitSha","FileName","FileLengthBefore","FileLengthAfter","nDeletes","nInserts","nEdits","EditScript","RunTime1","RunTime2","RunTime3","RunTime4","RunTime5","RunTime6","RunTime7","RunTime8","RunTime9","RunTime10","RunTime"
"4581","39","21","XML","arthas","555958c6083dd69fdde25b732c831af99215c53c","pom.xml","72","72","1","1","2","['@@ -7 +7 @@']","0.0601889","0.0547402","0.0592996","0.047324","0.049867","0.0469047","0.0480135","0.0519863","0.0477327","0.059961","0.0509267"
"4582","40","21","XML","arthas","582eca9e5aac7ce7e0a3a6cddb43d3d6efd75290","pom.xml","56","56","1","1","2","['@@ -21 +21 @@']","0.0658029","0.0516291","0.052605","0.0539085","0.0495904","0.0517787","0.0513699","0.0484133","0.0543083","0.0492323","0.0517039"
"4583","41","21","XML","arthas","5a775f99325b9e4daa3bfed4a91f2af3f7bb1442","pom.xml","230","243","0","13","13","['@@ -227,0 +228,13 @@']","0.0634468","0.0527013","0.0536682","0.0482159","0.0474503","0.0472658","0.0486032","0.0511038","0.0466887","0.0465425","0.0484096"
"4584","42","21","XML","arthas","5bbbf9d1a82471319bbbd46ca4fe2ebd7bfdca66","pom.xml","145","208","0","63","63","['@@ -113,0 +114,63 @@']","0.0578824","0.0524796","0.0481026","0.0514794","0.0525296","0.0530043","0.0555035","0.0479882","0.0469943","0.0519432","0.0522114"
"4585","43","21","XML","arthas","5f517cb6dd587bdf77aaf369230e3f4462a53082","pom.xml","67","67","1","1","2","['@@ -7 +7 @@']","0.0597779","0.0482682","0.0524709","0.0470141","0.0470103","0.0466486","0.0487619","0.0522156","0.0479422","0.0485864","0.0484273"
"4586","44","21","XML","arthas","5fe78a3ff655501cc3c168a828e83685b8e69ac4","pom.xml","247","247","2","2","4","['@@ -81 +81 @@', '@@ -86 +86 @@']","0.06079","0.0551644","0.0494942","0.0541782","0.0524569","0.126645","0.051646","0.0489281","0.0526898","0.0479396","0.0525733"
"4587","45","21","XML","arthas","617f990cfe0c42c57ba6c8e02dd7fc02082a6def","pom.xml","76","68","8","0","8","['@@ -25,8 +24,0 @@']","0.057743","0.0525593","0.0543255","0.0471105","0.0471089","0.0522882","0.0490399","0.0535852","0.0472949","0.0512773","0.0517827"
"4588","46","21","XML","arthas","61e4467ac40aa10250eeb89b5ea4b715c7b245cb","pom.xml","96","117","0","21","21","['@@ -19,0 +20 @@', '@@ -95,0 +97,20 @@']","0.0566114","0.050128","0.0521584","0.0556091","0.0525671","0.0466139","0.0550563","0.0492353","0.0565732","0.0479599","0.0523628"
"4589","47","21","XML","arthas","62ee6df39692c35f9c7b55b9291533c0ba50aabd","pom.xml","72","72","1","1","2","['@@ -7 +7 @@']","0.0609068","0.055297","0.0545168","0.0486701","0.0468378","0.0503394","0.048668","0.0505746","0.0509005","0.0479621","0.050457"
"4590",,"21","XML","arthas","65515c935676a83b126a4ffb1f303c0d93060d31","pom.xml","48","68","37","57","94","['@@ -2 +2,3 @@', '@@ -12,36 +14,54 @@']","0.060524",,,,,,,,,,
"4591","49","21","XML","arthas","734e5b547e97ef774508e066f41ccbe9ed489b75","pom.xml","138","139","3","4","7","['@@ -129 +129 @@', '@@ -131,2 +131,3 @@']","0.0573432","0.0515277","0.0501076","0.0562801","0.0523509","0.0477454","0.0955648","0.0486525","0.0505105","0.0472512","0.0510191"
"4592","50","21","XML","arthas","73ad24342da6ddf859c4c7e152fe0117932d4731","pom.xml","181","188","0","7","7","['@@ -145,0 +146,5 @@', '@@ -161,0 +167 @@', '@@ -169,0 +176 @@']","0.0569275","0.0521201","0.0512271","0.0721557","0.0468765","0.0558154","0.0528877","0.0488213","0.0522573","0.0459979","0.0521887"
"4593","51","21","XML","arthas","75faf476f02d2b8e2765a2ffbd1eb705b84071d8","pom.xml","72","72","1","1","2","['@@ -7 +7 @@']","0.0636574","0.0517417","0.0485838","0.0622613","0.0525364","0.0495075","0.0502598","0.0531015","0.0512839","0.0468875","0.0515128"
"4594",,"21","XML","arthas","77460d071fa5e32b4fe27257ed1f1564a7984267","pom.xml","72","82","2","12","14","['@@ -19,0 +20,10 @@', '@@ -55,2 +65,2 @@']","0.0652257",,,,,,,,,,
"4595","53","21","XML","arthas","77b480a13c0a7c926e93c2604c19588b3359b266","assembly.xml","52","70","5","23","28","['@@ -16,5 +16 @@', '@@ -50,0 +47,22 @@']","0.0582814","0.0519678","0.0532904","0.0544792","0.0487768","0.0501799","0.0516431","0.0586793","0.0564739","0.0469942","0.0526291"
"4596","54","21","XML","arthas","77b480a13c0a7c926e93c2604c19588b3359b266","pom.xml","75","83","1","9","10","['@@ -7 +7 @@', '@@ -22,0 +23,8 @@']","0.0605295","0.0496052","0.0503429","0.0535227","0.0546882","0.0515219","0.0534377","0.0525207","0.0716853","0.0460869","0.0529792"
"4597","55","21","XML","arthas","784cfc5285591c94a5f78a2104ffbea459c305d2","pom.xml","259","259","1","1","2","['@@ -92 +92 @@']","0.0652233","0.0507887","0.0507367","0.062314","0.0500915","0.0564714","0.0521076","0.0540281","0.051355","0.047365","0.0517313"
"4598","56","21","XML","arthas","7d0e75baaabb7a8f673fc129097a32d864261d0e","assembly.xml","57","47","10","0","10","['@@ -47,10 +46,0 @@']","0.0666713","0.0464683","0.0483111","0.0499226","0.0472531","0.0479771","0.0541958","0.0482674","0.0546059","0.0494518","0.0488814"
"4599",,"21","XML","arthas","7d0e75baaabb7a8f673fc129097a32d864261d0e","pom.xml","38","50","0","12","12","['@@ -33,0 +34,12 @@']","0.0592639",,,,,,,,,,
"4600","58","21","XML","arthas","805876a2ad6a7d346443425caf7e35b2588205bb","pom.xml","277","277","3","3","6","['@@ -120 +120 @@', '@@ -125 +125 @@', '@@ -130 +130 @@']","0.0607454","0.0524065","0.0558693","0.0579369","0.0533997","0.051913","0.0552793","0.0524009","0.055475","0.0562606","0.0553772"
"4601","59","21","XML","arthas","806c240900afdd6c9633bef035d2ae748700ff7f","pom.xml","264","264","5","5","10","['@@ -154 +154 @@', '@@ -159 +159 @@', '@@ -164 +164 @@', '@@ -169 +169 @@', '@@ -174 +174 @@']","0.0643799","0.0502688","0.0538863","0.050599","0.047447","0.0475451","0.0472094","0.118202","0.0520899","0.0511871","0.050893"
"4602","60","21","XML","arthas","8088f20777f2f45aaac89f9d66f991d4fb5b31f4","pom.xml","141","154","1","14","15","['@@ -7 +7 @@', '@@ -64,0 +65,12 @@', '@@ -129,0 +142 @@']","0.0620972","0.0483854","0.0523415","0.070313","0.0543099","0.053884","0.0528198","0.0524211","0.0513165","0.0505968","0.0526204"
"4603","61","21","XML","arthas","857488fffd2ffb6c2caa59c275b85069b35ed01d","pom.xml","75","71","4","0","4","['@@ -18,4 +17,0 @@']","0.0581049","0.0515572","0.0476274","0.0511129","0.0479739","0.0470091","0.0469689","0.0572076","0.05579","0.0542914","0.0513351"
"4604","62","21","XML","arthas","89bd23b9de45a5f763abeb86a13c80c4241c025b","pom.xml","146","151","0","5","5","['@@ -118,0 +119,5 @@']","0.0617303","0.0478566","0.0525933","0.0628258","0.0519631","0.0529024","0.0516562","0.0475584","0.0468692","0.0576664","0.0522782"
"4605","63","21","XML","arthas","907ff9c4bfdd69321420bc014715350f863613f4","pom.xml","259","270","28","39","67","['@@ -50 +50 @@', '@@ -57,0 +58,2 @@', '@@ -59,0 +62,2 @@', '@@ -65,0 +70,2 @@', '@@ -74,0 +81 @@', '@@ -88,0 +96,10 @@', '@@ -92 +109 @@', '@@ -149 +166 @@', '@@ -154 +171 @@', '@@ -159 +176 @@', '@@ -164 +181 @@', '@@ -169 +186 @@', '@@ -193,0 +211,5 @@', '@@ -235,21 +257,10 @@']","0.0635553","0.0508123","0.047215","0.0491865","0.0471707","0.0472463","0.0486543","0.0519558","0.0487009","0.0462015","0.0486776"
"4606",,"21","XML","arthas","9245b693e420c74ef18f405778f531a68f144b2e","pom.xml","117","182","17","82","99","['@@ -5,0 +6,43 @@', '@@ -11,0 +55,2 @@', '@@ -24,0 +70,2 @@', '@@ -99,17 +146,35 @@']","0.0578669",,,,,,,,,,
"4607","65","21","XML","arthas","943935c251ad8ba6dd23faeb1c73cc66dea7b8d0","assembly.xml","49","67","5","23","28","['@@ -16,5 +16 @@', '@@ -47,0 +44,22 @@']","0.0624782","0.0489403","0.0541776","0.0561934","0.0514192","0.0501459","0.0548737","0.0469187","0.0518395","0.0460662","0.0516293"
"4608","66","21","XML","arthas","943935c251ad8ba6dd23faeb1c73cc66dea7b8d0","pom.xml","71","78","2","9","11","['@@ -7 +7 @@', '@@ -23 +23,8 @@']","0.0655768","0.0470571","0.0514958","0.0539889","0.046889","0.0475088","0.0480493","0.0469081","0.0460375","0.0472136","0.0473612"
"4609","67","21","XML","arthas","996fb4d827f43ebffeb15c0c1a2d43c0cf974094","pom.xml","132","136","0","4","4","['@@ -51,0 +52,4 @@']","0.0593889","0.0564984","0.0512108","0.0633913","0.0590697","0.054096","0.06365","0.0516001","0.049606","0.046255","0.0552972"
"4610","68","21","XML","arthas","9b99734c64dd723606a2833cbafd8f1093c738c7","pom.xml","243","243","1","1","2","['@@ -88 +88 @@']","0.0582303","0.0481685","0.0490611","0.0511981","0.0479647","0.0469726","0.0543597","0.0478954","0.0470113","0.0481644","0.0481665"
"4611",,"21","XML","arthas","9c0b5470fcd34f244b952f50c836b5e1c4af3f85","pom.xml","72","82","3","13","16","['@@ -7 +7 @@', '@@ -19,0 +20,10 @@', '@@ -55,2 +65,2 @@']","0.0686896",,,,,,,,,,
"4612","70","21","XML","arthas","a55034ad12e308b7b023c9d93c37466aeb7f1995","pom.xml","259","259","1","1","2","['@@ -92 +92 @@']","0.0682048","0.0499109","0.0535678","0.0680148","0.0520828","0.0508171","0.053809","0.0471615","0.0479484","0.0503587","0.05145"
"4613","71","21","XML","arthas","a5efe2546e8f283aa3621c607004419a5b4774dc","pom.xml","150","141","9","0","9","['@@ -13,8 +12,0 @@', '@@ -138 +129,0 @@']","0.0678636","0.0510958","0.049343","0.0543221","0.0480985","0.0491688","0.0506236","0.0469356","0.0462095","0.0460081","0.0492559"
